area,station_name,stationCd
大和市,タイムズ高座渋谷第９,QO51
大和市,タイムズ高座渋谷第１１,RZ08
大和市,アーバン長窪,KD04
大和市,アビテボナール,SO85
大和市,ウイングヤマシタ,ND31
大和市,上和田月極駐車場,JH88
大和市,ＵＲ上和田団地,SG27
大和市,桜ヶ丘パーキング,LI64
大和市,下和田駐車場,OM45
大和市,スクエアパーキング,MP83
大和市,セソンレオ,ED92
大和市,イオン大和ショッピングセンター第３,T564
大和市,タイムズ小田急大和第２,EA47
大和市,大和市中央１丁目,RN29
大和市,タイムズ高座渋谷駅前第２,DP49
大和市,タイムズ相鉄大和第３,EE69
大和市,タイムズ大和駅前第２,Q847
大和市,タイムズ大和駅前第６,QV94
大和市,タイムズ大和駅前第５,EU60
大和市,タイムズ大和中央第４,BP57
大和市,タイムズ大和徳洲会病院,LW85
大和市,タイムズ大和東第３,CQ93
大和市,タイムズ大和深見西,Y302
大和市,タイムズ大和南第３,CY75
大和市,タイムズ大和南第５,JG24
大和市,東門駐車場,RD51
大和市,タイムズ大和柳橋,EU53
大和市,中央１号公園前,MK68
大和市,テーエス駐車場,NI87
大和市,パークセレノ,QB13
大和市,Ｂ・Ｈパーキング,LM62
大和市,深見台１丁目第２,MD66
大和市,深見西１丁目,KF80
大和市,山口第１駐車場,KO93
大和市,山口第５駐車場,NN55
大和市,大和市中央５丁目,KO75
大和市,大和市中央７丁目,LM47
大和市,大和市中央５丁目３,KW15
大和市,大和東公園,EI13
大和市,大和深見台１丁目,KO59
大和市,大和南１丁目月極,LQ17
大和市,ラークヴィラ,OK09
大和市,リリーガーデン,OE49
大和市,池田パーキング,SE28
大和市,大和市中央４丁目２,SD46
大和市,保田駐車場,SD77
海老名市,綾瀬市大上５丁目,RN13
海老名市,グランチェスタ,SB75
海老名市,Ｎ－ｓｔａｇｅかしわ台,KF65
海老名市,海老名駅西口（ＥＶ）,LL76
海老名市,海老名駅前第３,LO41
海老名市,海老名国分北２丁目,OE71
海老名市,海老名市中央３丁目,JU23
海老名市,タイムズ海老名中央公園地下（ＥＶ）,LF72
海老名市,扇町見世ビル,OL13
海老名市,小田急厚木第１駐車場（小田急）,KD03
海老名市,厚木第２駐車場（小田急）,DN33
海老名市,鍵渡駐車場,QF98
海老名市,かしわ台駅前,LD06
海老名市,クラウンハイツ海老名,MQ43
海老名市,さがみ野駅南口（屋上）,LD05
海老名市,シュリンプタワー（西）,QM94
海老名市,シュリンプタワー（東）,QM93
海老名市,セントガーデン海老名＿限定,IW70
海老名市,相鉄柏ケ谷月極パーキング,NW62
海老名市,タイムズ海老名中央第９,CM59
海老名市,タイムズ海老名泉,KO78
海老名市,タイムズ海老名駅西口第２,BH96
海老名市,タイムズ海老名駅西口第３,BL65
海老名市,タイムズ海老名駅西口第４,HA87
海老名市,タイムズ海老名河原口,Q467
海老名市,タイムズ海老名中央第４,CE79
海老名市,タイムズ海老名中央第６,CG62
海老名市,タイムズ海老名中央公園地下,EG12
海老名市,タイムズかしわ台第３,BO13
海老名市,タイムズかしわ台第３（ゲート外）,SN83
海老名市,タイムズさがみ野相鉄ライフ第２,DB30
海老名市,スターバックスコーヒー海老名中央店,Y376
海老名市,タイムズ東柏ケ谷,BX51
海老名市,タイムズビナフロント,EW66
海老名市,東柏ケ谷５丁目６,OW93
海老名市,アイリスコートさがみ野,RN50
海老名市,ＰーＲＥＸさがみ野駐車場,LZ15
海老名市,ファミール,QB12
海老名市,マイシャトーさがみ野Ａ,QB11
海老名市,マハロ壱番館,MP82
海老名市,見上駐車場,NQ58
海老名市,ＵＲえびな団地,NP43
海老名市,ＵＲえびな団地３地区,RQ79
海老名市,ロイヤルプラザ海老名駐車場,LQ02
海老名市,タイムズ海老名中央第７,SE95
中原区,ガーラ・ヴィスタ元住吉（屋外）,OH00
中原区,ガーラ・ヴィスタ元住吉（建物下）,OY31
中原区,西加瀬月極駐車場,KI06
中原区,タイムズ西加瀬,Y771
中原区,タイムズフロール元住吉（ＥＶ）,JP24
中原区,タイムズ元住吉第９,CP85
中原区,タイムズ元住吉駅前第８,HT87
中原区,ホンダソーラービル,QX55
中原区,ウェルス元住吉,OO35
中原区,ドミール・トモ,RF57
中原区,ハイム翠,SN24
中原区,木月天王森交差点,NF82
中原区,コンフォート住吉,RF65
中原区,タイムズ関東労災病院,KR66
中原区,ＵＲ木月住吉団地,CV83
中原区,ルシエル,EH12
中原区,タイムズ下小田中,R610
中原区,タイムズ下小田中（ＥＶ）,JP32
中原区,ラフォーレ武蔵中原,ED02
中原区,リブリ・アフィニティ,DW42
中原区,ネイバーズ武蔵中原,ES84
中原区,上小田中１丁目第３駐車場,JC77
中原区,タイムズ上小田中,T881
中原区,ラフィーネ武蔵中原,KZ71
中原区,ノーブル駐車場,IJ64
中原区,ルピナス壱番館,JS19
中原区,グランクラージュ,QH26
中原区,タイムズ又玄寺,RR47
中原区,パークスクエア武蔵中原,RX36
中原区,シエント武蔵小杉,CS63
中原区,ＧＯＴＥＮ武蔵小杉,JK00
中原区,ガーラ武蔵小杉グランドステージ,QI32
中原区,タイムズ小杉御殿町第４,EZ41
中原区,ＵＲ小杉御殿,NU98
中原区,レアライズ武蔵小杉２,OR15
中原区,上丸子小学校南,RX86
中原区,フィンガーテラス,QY93
中原区,木月八幡公園西,QZ60
中原区,タイムズピーシーデポスマートライフ日吉店,LR59
中原区,川崎木月４丁目,SD16
中原区,タイムズ木月住吉町,BM18
